horizon,model,RMSE,MAE,QLIKE
1,EWMA 0.94,2.5057407833491534,1.6101800315408552,1.3087459924092792
1,GARCH-Student-t,2.530701528627442,1.639483181372982,1.3938736173935145
1,GJR-GARCH-Student-t,2.087477750822084,1.4145022410849513,1.311396730961471
1,Rolling 120,2.3740374978430734,1.538628798912001,1.4827474923812125
1,Rolling 60,2.3253900811483423,1.4485747939715576,1.2952831087702583
5,EWMA 0.94,11.366599208293165,5.868322400507071,0.43205813125129927
5,GARCH-Student-t,12.16118708227573,6.814079482035337,0.5176672248496653
5,GJR-GARCH-Student-t,10.516891142746069,6.1365010307399235,0.48608044546940593
5,Rolling 120,9.892420008541551,5.901572582936858,0.5090201685116305
5,Rolling 60,10.445278985228622,5.871667287691136,0.454756152623882
10,EWMA 0.94,19.231795491125585,11.494680176824774,0.4131475607317604
10,GARCH-Student-t,18.64419973393707,12.03752295164715,0.42165017490745194
10,GJR-GARCH-Student-t,14.670821940245414,10.589159152183537,0.4065099788575141
10,Rolling 120,16.56188182899319,11.537275417046665,0.4954157501996646
10,Rolling 60,17.70230111495318,12.085449192409005,0.5415246266138851
20,EWMA 0.94,41.965042797052874,25.48786239127508,0.9588121669021943
20,GARCH-Student-t,38.806810613931546,25.51711702740815,0.4307949784148673
20,GJR-GARCH-Student-t,32.37171152180841,22.217902188978123,0.40428039158891055
20,Rolling 120,36.33958282587561,24.174763399045414,0.8121431240524304
20,Rolling 60,39.740580856796676,27.192731808682055,0.9908037511011735
